Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Accidente con,Muertes,Clase de Accidente,severidad,hora,dia_semana,mes,fin_semana,Año,Mes,Mes_nombre,lat,lon
2024-04-10,A0001651930,CALLE 14 CARRERA 41 -  COMCAJA RANCHO GRANDE,COMCAJA,2,2,HERIDOS,0,CHOQUE,0,0,Wednesday,4,0,2024,4,abril,,
2024-04-10,A0001651931,KILOMETRO 1 VIA ACACIAS -VILLAVICENCIO  -  VILLA MANUELA,VILLA MANUELA,2,3,HERIDOS,0,CHOQUE,0,0,Wednesday,4,0,2024,4,abril,4.0061605,-73.7707754
2024-04-11,A001651932,CALLE 11 CRA 31 -  SAMAN BRISAS DEL GUAYURIBA,SAMAN,3,2,HERIDOS,0,CHOQUE,0,0,Thursday,4,0,2024,4,abril,,
2024-04-11,A001651933,CALLE 19 N.22A  -  SIN INFORMACIÃ“N DEL BARRIO RANCHO GRANDE,SIN INFORMACIÓN,2,2,HERIDOS,0,CHOQUE,0,0,Thursday,4,0,2024,4,abril,,
2024-04-14,A001651934,CARRERA 15 6A -77  -  MALECÃ“N TURISTICO,MALECÓN TURÍSTICO,2,3,HERIDOS,0,CHOQUE,0,0,Sunday,4,1,2024,4,abril,,
2024-04-19,A001651935,CALLE 20 CARRERA 49 -  COLINAS,COLINAS,2,1,HERIDOS,0,CHOQUE,0,0,Friday,4,0,2024,4,abril,,
2024-04-21,A001651936,CALLE 13 CARRERA 18 -  CENTRO,CENTRO,2,3,HERIDOS,0,CHOQUE,0,0,Sunday,4,1,2024,4,abril,3.9601604,-73.7585291
2024-04-25,A001651937,CALLE 14 CARRERA 12 -  JUAN MELLAO,JUAN MELLAO,2,1,HERIDOS,0,CHOQUE,0,0,Thursday,4,0,2024,4,abril,,
2024-04-27,A001651938,CALLE 12 CARRERA 25 -  DORADO BAJO,DORADO BAJO,2,1,HERIDOS,0,CHOQUE,0,0,Saturday,4,1,2024,4,abril,,
2024-04-28,A001651939,CARRERA 36 N. 9-82  -  INDEPENDENCIA,INDEPENDENCIA,1,2,HERIDOS,0,ATROPELLO,0,0,Sunday,4,1,2024,4,abril,3.985851,-73.7787589
2024-04-29,A001651940,CALLE 15 CARRERA 22 -  COOPERATIVO,COOPERATIVO,3,2,HERIDOS,0,CHOQUE,0,0,Monday,4,0,2024,4,abril,3.9876057,-73.7645413
2024-05-06,A001651941,CALLE 19 CARRERA 18A -  MANCERA,MANCERA,2,2,HERIDOS,0,CHOQUE,0,0,Monday,5,0,2024,5,mayo,3.9919826,-73.7594884
2024-05-07,A001651942,CARRERA 31 CALLE  16C -  BACHUE,BACHUE,2,3,HERIDOS,0,CHOQUE,0,0,Tuesday,5,0,2024,5,mayo,,
2024-05-11,A001651943,CALLE 15 N.21-76  -  SIN INFORMACIÃ“N DEL BARRIO,SIN INFORMACIÓN,1,1,HERIDOS,0,ATROPELLO,0,0,Saturday,5,1,2024,5,mayo,,
2024-05-22,A001651944,DIAGONAL 15 CARRERA 30 -  ASOCIACIÃ“N DE AMIGOS,ASOCIACIÓN DE AMIGOS,2,1,HERIDOS,0,CHOQUE,0,0,Wednesday,5,0,2024,5,mayo,,
2024-05-22,A001651945,KILOMETRO 1 VIA VEREDA ESMERALDA  -,SIN INFORMACIÓN,1,1,HERIDOS,0,CHOQUE,0,0,Wednesday,5,0,2024,5,mayo,,
2024-05-26,A001651946,DIAGONAL 15 CARRERA 41 - VILLA AURORA,SIN INFORMACIÓN,2,3,HERIDOS,0,CHOQUE,0,0,Sunday,5,1,2024,5,mayo,,
2024-05-26,A001651947,KILOMETRO 26 + 645  -  VÃA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,1,1,HERIDOS,0,CHOQUE,0,0,Sunday,5,1,2024,5,mayo,,
2024-05-27,A001651948,KILOMETRO 19 VIA VAQUEROS CLUB -,SIN INFORMACIÓN,3,0,MUERTOS,1,CHOQUE,1,0,Monday,5,0,2024,5,mayo,,
2024-06-01,A001651949,KILOMETRO 2+200 MTS  VIA  ACACIAS  ANTIGUA GUAMAL -  VÃA ANTIGUA GUAMAL,VÍA ANTIGUA GUAMAL,2,1,HERIDOS,0,CHOQUE,0,0,Saturday,6,1,2024,6,junio,,
